,id,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,churn
54,162990,15781665,Ting,597.0,France,Male,34.0,6,135925.05,1,1,1,151873.06,0
55,64956,15752816,Dann,611.0,France,Female,34.0,2,0.0,1,0,1,169964.1,0
56,86326,15623082,Ch'ang,507.0,France,Male,35.0,2,0.0,2,1,0,97633.93,0
57,136687,15713596,Ugochukwu,744.0,France,Male,40.0,1,0.0,1,1,1,58381.77,0
58,163721,15677906,Houghton,724.0,Germany,Male,34.0,9,117799.28,1,1,0,9984.4,0
59,90203,15733602,Li,671.0,France,Female,43.0,7,0.0,3,1,0,142238.54,1
60,104728,15798895,Ikedinachukwu,775.0,France,Male,62.0,6,155973.88,1,0,1,88279.6,0
61,53428,15692259,Baresi,706.0,Spain,Female,29.0,8,0.0,2,1,0,111565.45,0
62,88744,15702464,Watson,710.0,France,Male,31.0,4,0.0,3,0,0,160548.66,1
63,25241,15656822,Ulyanova,762.0,France,Female,41.0,2,0.0,2,1,1,166677.35,0
64,110922,15617982,Pirozzi,496.0,Spain,Female,42.0,3,0.0,2,1,0,35989.41,0
65,97599,15608230,Hoelscher,672.0,Spain,Male,23.0,1,0.0,1,1,0,91573.19,0
66,63756,15753362,Fiorentini,687.0,Spain,Male,27.0,8,0.0,2,1,1,52449.62,0
67,118543,15801265,Ts'ui,739.0,France,Male,38.0,2,98495.05,1,1,1,177784.34,0
68,90560,15602063,Chiemenam,663.0,Spain,Male,35.0,10,71264.02,1,1,0,131710.49,0
69,151594,15664754,Lucas,640.0,Germany,Male,44.0,4,131647.01,3,0,0,6981.43,1
70,70394,15781553,Ma,709.0,France,Male,38.0,9,0.0,2,1,0,46811.77,0
71,135959,15801293,Ni,850.0,Germany,Male,27.0,2,101278.25,2,1,1,26265.18,0
72,103061,15739972,Ni,569.0,Germany,Male,55.0,2,134435.07,2,1,0,54772.41,1
73,89068,15645896,Pinto,554.0,Spain,Male,24.0,8,132876.55,1,1,0,140800.56,0
74,61955,15799815,Hao,707.0,France,Male,32.0,5,112670.48,1,0,1,21085.17,0
75,3287,15633112,Madukaego,677.0,Germany,Female,35.0,6,118199.97,2,0,1,9452.88,0
76,118026,15632503,Hsiung,635.0,Germany,Male,46.0,7,116465.53,1,1,1,71830.1,1
77,71970,15754526,Trevisano,579.0,France,Male,26.0,2,0.0,2,1,1,121763.66,0
78,19119,15664543,Hs?,724.0,Germany,Male,28.0,7,102773.24,2,1,0,50679.62,0
79,26091,15694098,Fiorentini,674.0,France,Male,59.0,9,0.0,2,0,1,149184.15,0
80,15800,15793841,Tsao,809.0,France,Male,35.0,4,160599.06,2,1,1,140168.36,0
81,110512,15676513,Loggia,559.0,Germany,Male,38.0,2,104367.5,1,0,1,17384.21,1
82,15258,15618018,Dickson,571.0,France,Female,35.0,1,104783.81,1,1,0,178512.52,1
83,89330,15766686,Hingston,743.0,France,Male,36.0,7,0.0,2,1,0,117632.63,0
84,148873,15690007,Scott,589.0,France,Female,52.0,8,65848.36,2,0,0,191457.06,1
85,112385,15593782,Brookes,619.0,Germany,Female,38.0,9,130878.75,2,1,0,71905.77,0
86,136855,15764405,Hargreaves,598.0,France,Male,46.0,10,0.0,2,1,0,159892.89,0
87,130005,15749951,Black,668.0,France,Male,48.0,8,0.0,2,1,0,22095.73,1
88,104985,15716781,P'eng,569.0,France,Female,32.0,9,137555.37,1,1,1,91943.94,0
89,97003,15680643,Mazzi,521.0,France,Female,31.0,10,0.0,2,1,0,121866.87,0
90,44927,15607526,Milne,619.0,France,Male,31.0,5,0.0,2,1,1,132420.37,0
91,75414,15617603,Scott,706.0,Spain,Female,31.0,3,0.0,2,1,0,62634.94,0
92,47790,15736769,Lucchesi,715.0,France,Female,33.0,8,0.0,2,1,0,130376.68,0
93,162946,15691703,Chiawuotu,497.0,Spain,Male,27.0,1,152522.66,1,1,0,103908.87,1
94,95423,15571756,Nwachinemelu,602.0,France,Female,31.0,8,0.0,1,1,0,147964.85,0
95,142211,15789955,Scott,635.0,France,Male,25.0,9,0.0,2,1,1,141069.88,0
96,8712,15603098,Shubina,523.0,Spain,Male,37.0,2,145766.72,1,1,0,173576.74,0
97,42059,15707674,Chukwueloka,562.0,Germany,Female,44.0,2,63723.78,2,1,1,104253.56,0
98,138027,15742297,P'eng,706.0,France,Female,66.0,4,0.0,2,0,1,43956.83,0
99,22412,15791744,Cremonesi,699.0,France,Female,36.0,5,127785.29,2,0,0,136859.6,0
100,77794,15734524,Chan,648.0,Germany,Male,43.0,5,132615.73,2,1,0,32999.1,0
101,21602,15793854,Pinto,833.0,Spain,Female,40.0,9,91711.12,1,1,0,186869.58,0
102,66329,15683553,O'Brien,788.0,France,Female,33.0,5,0.0,2,1,0,116978.19,0
103,16960,15642812,Mazzanti,706.0,France,Female,65.0,7,0.0,2,1,1,139435.21,1
104,43025,15570859,Froggatt,578.0,Germany,Male,36.0,2,181671.16,1,1,0,57531.14,1
105,125104,15717489,Chiemezie,699.0,Spain,Female,31.0,7,66213.92,2,1,0,134719.06,0
106,45624,15574830,Mao,500.0,Germany,Male,37.0,0,125822.21,2,0,0,111698.0,0
107,143375,15587584,Macartney,680.0,France,Male,34.0,7,133672.24,1,1,1,127825.25,0
108,76950,15606859,Trentino,714.0,France,Female,63.0,0,0.0,1,1,1,125083.29,1
109,23548,15657868,Pike,794.0,Spain,Male,38.0,8,131955.07,1,1,0,91556.57,0
110,82304,15778025,Lo Duca,718.0,Spain,Female,37.0,8,0.0,2,0,0,133537.53,0
111,106497,15788659,Howells,695.0,France,Male,46.0,4,127476.73,1,1,1,137537.22,0
112,104807,15647838,T'ien,489.0,Spain,Male,36.0,2,0.0,2,1,1,48988.52,0
113,107764,15683584,L?,714.0,France,Male,32.0,3,0.0,2,1,0,172865.02,0
114,163776,15774536,He,607.0,Spain,Female,32.0,8,0.0,1,0,0,196062.01,0
115,45075,15787710,Udokamma,628.0,France,Male,35.0,8,0.0,1,1,0,166677.35,0
116,148009,15581548,Hsiung,597.0,Spain,Female,33.0,5,0.0,2,1,0,71862.79,0
117,135116,15673367,Fanucci,686.0,Germany,Female,46.0,1,105523.17,1,1,1,173516.71,1
118,19698,15673342,Stevenson,645.0,France,Female,38.0,6,0.0,2,0,1,164756.81,0
119,91539,15640106,Tsao,751.0,France,Female,43.0,3,0.0,2,1,0,137519.51,0
120,157653,15732650,Black,769.0,France,Female,27.0,9,0.0,1,1,1,57876.05,0
121,11971,15654574,Yegorov,660.0,France,Female,36.0,5,0.0,2,1,0,95887.12,0
122,67327,15629002,Ritchie,711.0,Spain,Male,48.0,8,0.0,1,1,0,169469.3,1
123,44029,15664661,Cattaneo,613.0,France,Female,33.0,9,113923.81,1,1,0,182944.47,0
124,96143,15572792,Wang,711.0,Spain,Female,42.0,7,111669.68,1,1,0,57836.72,0
125,84329,15659800,Ts'ai,632.0,France,Male,37.0,1,0.0,2,1,1,479.94,0
126,146422,15683471,Yobachi,850.0,France,Male,33.0,9,122726.56,1,1,1,177783.04,0
127,86817,15576517,Hargreaves,579.0,France,Female,38.0,5,0.0,1,0,0,44718.44,0
128,20814,15641310,Ch'iu,608.0,Germany,Male,58.0,2,140720.93,1,1,0,64439.58,1
129,134826,15592387,Lai,581.0,Germany,Male,51.0,10,119278.01,2,1,0,198269.08,1
130,94436,15806941,Lu,695.0,France,Male,49.0,7,0.0,2,0,1,102628.98,0
131,97787,15651369,Hsia,561.0,France,Female,32.0,1,0.0,2,1,0,83058.14,0
132,153159,15660417,Chung,667.0,France,Female,54.0,10,120241.17,1,0,0,73963.17,1
133,99424,15583857,He,696.0,Germany,Female,41.0,6,142316.14,1,1,0,8018.49,1
134,40533,15633141,P'an,661.0,Spain,Female,40.0,6,114857.69,1,1,1,124776.15,0
135,60188,15693322,Chinagorom,650.0,Germany,Female,53.0,2,89015.61,1,1,1,78854.57,1
136,131283,15567446,Coffman,646.0,Germany,Female,48.0,2,111574.41,2,1,0,30838.51,1
137,459,15752463,Grant,732.0,Spain,Male,31.0,4,0.0,2,1,0,124596.63,0
138,2110,15674620,Hsiao,718.0,France,Male,51.0,2,136623.19,1,1,1,62700.08,1
139,123279,15650933,Ma,662.0,France,Male,28.0,4,141947.67,1,0,0,154775.7,0
140,47069,15660244,Onwughara,711.0,France,Male,38.0,3,157735.97,1,1,1,152753.02,0
141,67882,15790339,Hsing,797.0,Spain,Male,35.0,9,0.0,2,1,1,59346.4,0
142,16299,15654067,Koch,584.0,Spain,Female,29.0,5,0.0,2,1,0,88866.92,0
143,122432,15596671,K?,678.0,France,Female,71.0,6,144954.64,1,1,1,92917.47,1
144,138413,15668059,Lo,687.0,France,Male,41.0,1,0.0,2,1,1,64440.45,0
145,67140,15601594,Fanucci,759.0,France,Female,36.0,5,0.0,2,1,1,115441.66,0
146,147506,15668679,Ozerova,630.0,France,Male,44.0,9,0.0,2,1,0,34475.14,0
147,58702,15767488,Berry,520.0,Spain,Male,37.0,9,0.0,2,1,0,20109.21,0
148,74424,15732299,Milanesi,592.0,France,Female,50.0,4,0.0,3,0,0,74850.94,1
149,143058,15602479,Lo Duca,523.0,Germany,Male,45.0,7,129321.44,2,1,0,37140.2,0
150,136746,15806922,Hsia,617.0,France,Male,35.0,5,0.0,2,1,0,15959.01,0
151,128454,15750547,Brown,717.0,France,Male,32.0,5,0.0,1,1,1,141400.51,0
152,30015,15689633,Toomey,845.0,France,Female,36.0,2,112803.92,1,1,0,179631.85,0
153,62964,15713604,Eluemuno,682.0,Spain,Male,33.0,0,0.0,2,1,1,61437.55,0
154,35669,15696837,Chinwendu,685.0,France,Female,32.0,2,0.0,2,0,0,26327.31,0
155,130128,15753874,P'eng,675.0,France,Male,36.0,9,0.0,2,1,0,94815.04,0
156,69588,15671086,Shao,678.0,Germany,Male,21.0,2,133314.4,1,1,0,26116.54,0
157,161534,15579969,Hsueh,727.0,Germany,Female,33.0,9,125889.3,1,1,0,73881.68,1
158,120632,15682533,Trevisano,603.0,Germany,Female,30.0,9,122453.97,1,0,1,131283.6,0
159,128431,15671172,Lucciano,681.0,France,Female,36.0,9,0.0,2,0,1,123866.43,0
160,21046,15693817,Chuang,596.0,Germany,Male,32.0,8,139853.6,2,1,0,140931.49,0
161,146852,15665084,Y?,743.0,France,Female,35.0,7,0.0,2,0,1,145537.22,0
162,74376,15780984,Udegbulam,698.0,France,Female,40.0,7,83347.72,1,1,0,90177.69,0
163,2205,15707242,T'ang,686.0,France,Female,29.0,9,0.0,1,1,0,124022.52,0
164,157711,15752626,Ukaegbunam,599.0,Spain,Male,40.0,0,0.0,1,1,1,126812.63,1
165,98618,15613141,Shillito,593.0,Spain,Male,30.0,9,0.0,2,1,0,122267.83,0
166,65300,15788123,Trevisan,843.0,Spain,Male,29.0,7,86843.61,2,1,0,172930.28,0
167,153086,15793883,Lo,629.0,Germany,Male,43.0,4,109974.39,1,1,0,116046.31,0
168,49407,15772412,Napolitano,797.0,Spain,Male,37.0,6,0.0,2,0,1,152740.16,0
169,158871,15778975,Brookes,825.0,Germany,Female,45.0,10,123593.22,3,0,0,162428.05,1
170,20478,15813412,Onyekachukwu,478.0,Germany,Male,35.0,1,71872.19,1,1,1,141501.45,1
171,103883,15665766,Shillito,714.0,France,Female,32.0,5,0.0,2,1,0,142516.35,0
172,31314,15797329,Trevisano,589.0,France,Male,43.0,1,0.0,1,1,0,160696.72,0
173,76351,15617603,Hsieh,583.0,France,Male,34.0,8,0.0,2,1,1,180142.65,0
174,11183,15683339,Goddard,540.0,France,Male,48.0,0,0.0,1,1,1,108469.2,0
175,35696,15653595,Chiang,562.0,Germany,Male,36.0,6,63438.91,3,1,0,38691.34,1
176,141593,15759537,Ballard,538.0,Spain,Male,43.0,8,0.0,1,0,1,58467.08,1
177,145903,15586479,Teng,628.0,France,Male,31.0,6,0.0,2,1,1,94739.2,0
178,13451,15760294,Nwankwo,637.0,Spain,Male,43.0,7,0.0,2,0,1,142940.39,0
179,148027,15688963,Nwachukwu,645.0,France,Male,44.0,3,0.0,1,0,0,143668.44,1
180,142441,15672499,Chimaobim,738.0,Germany,Female,52.0,1,144772.69,2,1,0,103792.53,1
181,1873,15626679,Trevisano,771.0,France,Female,44.0,7,106807.64,1,1,1,116097.26,0
182,44656,15783338,Williams,449.0,Spain,Male,40.0,1,155619.36,1,1,1,166692.03,0
183,82475,15779913,Thomas,760.0,Spain,Female,33.0,1,118114.28,1,0,1,156660.21,1
184,11063,15601796,Padovano,718.0,Spain,Male,47.0,1,95293.86,1,0,0,143338.0,0
185,70886,15739476,Ku,597.0,France,Female,28.0,2,0.0,2,1,1,166957.82,0
186,29493,15733341,Fanucci,649.0,Spain,Female,42.0,3,136658.98,1,1,1,153959.35,0
187,66253,15614893,Fanucci,594.0,France,Male,29.0,7,0.0,2,1,0,163783.1,0
188,143063,15754537,Ko,748.0,France,Male,35.0,5,0.0,1,0,1,60416.76,0
189,23140,15653957,Okwuoma,595.0,Spain,Male,46.0,5,0.0,1,1,1,186858.41,0
190,44726,15757912,Bradley,753.0,Germany,Female,23.0,0,125977.81,2,0,1,160162.42,0
191,13368,15613787,Ojiofor,639.0,France,Male,37.0,2,0.0,2,1,1,57926.81,0
192,132119,15647969,Haugh,624.0,Germany,Male,35.0,4,105724.96,2,1,0,131083.5,0
193,130770,15752502,Ch'ang,732.0,Germany,Male,29.0,8,141918.09,1,1,1,133501.94,0
194,36573,15718893,Lo,679.0,France,Male,30.0,7,0.0,2,0,1,69676.55,0
195,8806,15782454,Hancock,487.0,France,Male,49.0,4,0.0,1,0,0,190296.76,1
196,39158,15776046,Goliwe,738.0,Germany,Male,56.0,1,160132.88,1,1,0,85983.98,1
197,50499,15591036,Iadanza,779.0,France,Female,35.0,4,124022.53,2,1,0,38794.39,0
198,114674,15661036,Pirozzi,632.0,France,Male,61.0,1,0.0,2,0,1,164886.64,0
199,31331,15602844,Onwuamaeze,579.0,France,Male,35.0,5,88382.01,1,0,0,156868.21,0
200,151016,15645511,Calabrese,690.0,Germany,Female,36.0,6,113599.56,2,1,0,163535.28,0
201,17440,15759872,L?,625.0,Germany,Female,22.0,9,121898.58,2,1,1,157072.91,0
202,98739,15573456,De Luca,752.0,Germany,Female,30.0,2,116471.29,2,1,1,67769.2,0
203,120748,15713347,Tuan,577.0,Spain,Male,46.0,6,0.0,2,0,1,15876.52,1
204,61521,15743456,T'ao,724.0,France,Male,41.0,2,0.0,1,1,0,93832.33,0
205,10469,15793317,T'ao,596.0,Spain,Female,30.0,4,0.0,1,1,0,151459.26,0
206,66119,15769959,Huggins,706.0,France,Male,29.0,10,132576.25,1,1,0,145789.71,0
207,71809,15576945,Cameron,639.0,France,Female,30.0,3,0.0,1,0,0,51536.99,1
208,162920,15633648,Iweobiegbulam,717.0,Germany,Female,34.0,4,91219.99,2,1,1,159618.04,0
209,75856,15714981,Sabbatini,492.0,Germany,Female,37.0,4,119624.6,1,1,1,55775.84,1
210,37258,15581457,Udinesi,753.0,France,Female,28.0,9,0.0,2,0,0,80106.84,0
211,151227,15671590,Hs?eh,549.0,France,Male,34.0,7,0.0,2,1,0,139919.39,0
212,142721,15753831,Cox,642.0,Spain,Male,32.0,9,100433.8,2,1,0,39768.59,0
213,35105,15706199,Tseng,729.0,Germany,Male,33.0,7,106486.29,1,1,0,161325.96,0
214,110494,15757559,Martin,538.0,Germany,Male,44.0,8,97792.21,1,0,0,120225.62,0
215,76654,15572390,Onyemauchechukwu,692.0,Germany,Male,49.0,5,113909.64,1,1,0,82438.13,0
216,78043,15791780,Kambinachi,710.0,Germany,Male,42.0,4,112930.28,2,1,0,157937.35,1
217,26254,15649359,Somayina,758.0,France,Male,32.0,9,0.0,2,1,1,17135.6,0
218,46308,15643359,H?,703.0,France,Male,30.0,7,0.0,2,1,0,81602.02,0
219,115337,15807078,Ritchie,616.0,Spain,Male,35.0,0,99529.6,1,0,0,101728.65,0
220,82629,15795519,L?,580.0,Spain,Female,46.0,8,99286.98,1,1,0,194945.8,1
221,98061,15779207,Nwankwo,428.0,France,Male,34.0,8,0.0,2,1,1,107876.2,0
222,79590,15784280,Holloway,686.0,Germany,Female,35.0,3,109342.82,2,0,1,86043.27,0
223,32654,15593499,Hsing,718.0,France,Female,54.0,10,0.0,1,1,0,150659.35,1
224,66674,15598086,T'ang,705.0,France,Female,40.0,3,68639.57,1,1,0,168002.31,0
225,59106,15590327,Chiang,569.0,Germany,Female,36.0,2,127786.28,1,1,0,48606.92,1
226,7746,15765643,Ferri,646.0,France,Male,39.0,8,0.0,2,0,0,142331.85,0
227,125922,15661349,Nnamutaezinwa,810.0,France,Female,32.0,6,0.0,1,0,1,74878.46,0
228,18793,15783029,Teng,615.0,France,Male,29.0,1,0.0,2,0,1,171465.19,0
229,51596,15811877,Shao,700.0,France,Female,31.0,7,0.0,2,1,1,130789.15,0
230,55630,15799468,Milne,705.0,Germany,Female,37.0,2,116755.5,1,1,0,62733.03,1
231,135437,15790846,Hsu,675.0,Germany,Female,37.0,2,161592.76,2,1,1,150795.85,0
232,154075,15688007,Monds,736.0,Spain,Male,37.0,5,111837.78,1,1,0,84920.49,0
233,268,15624592,K'ung,589.0,France,Male,37.0,7,0.0,2,1,0,66796.92,0
234,112355,15589793,Ngozichukwuka,690.0,France,Male,44.0,7,0.0,1,1,0,174027.6,1
235,31832,15665084,Ch'ang,577.0,Germany,Female,41.0,8,132729.4,1,0,1,137959.57,1
236,14202,15600912,Chukwuebuka,671.0,Germany,Male,36.0,5,153590.51,2,1,0,143619.52,0
237,70713,15689955,Kao,695.0,France,Female,31.0,4,133960.05,1,1,1,141069.97,0
238,142427,15733111,Hsia,678.0,France,Female,29.0,6,132876.75,1,1,1,116969.06,0
239,52526,15793825,Lombardo,771.0,Spain,Female,40.0,4,89047.14,1,0,1,62700.08,1
240,31764,15616152,Obiuto,570.0,Germany,Female,39.0,9,87271.41,2,1,0,187946.55,0
241,154585,15649060,Ch'ang,634.0,Germany,Female,59.0,9,125801.72,1,1,1,173486.83,1
242,103682,15661830,Chiekwugo,718.0,Germany,Male,34.0,3,152759.8,1,1,0,187985.88,0
243,164033,15701333,T'ang,554.0,France,Female,34.0,8,131160.85,1,1,0,74878.64,0
244,108981,15672955,K'ung,709.0,France,Male,29.0,0,0.0,2,1,0,107839.03,0
245,40079,15611409,Sun,676.0,Spain,Male,35.0,0,0.0,1,0,0,139911.58,0
246,155815,15757981,Trevisan,632.0,Germany,Male,22.0,9,108432.88,2,1,0,172557.77,0
247,84733,15644878,Clements,697.0,France,Male,34.0,2,0.0,1,1,1,46911.12,0
248,5822,15763898,Toscani,678.0,France,Male,32.0,3,0.0,2,1,1,29372.62,0
249,141859,15578726,Fomin,645.0,France,Male,36.0,5,0.0,2,1,1,59887.15,0
250,59414,15628219,Benson,687.0,Germany,Female,37.0,1,111911.63,1,1,1,110359.68,1
251,153486,15663706,Mao,598.0,Germany,Male,56.0,4,111920.13,3,1,0,197634.11,1
252,59573,15587038,P'an,588.0,France,Male,39.0,3,0.0,2,1,0,117832.59,0
253,79300,15754574,Tomlinson,672.0,Spain,Male,36.0,5,0.0,2,1,1,96881.32,0
254,46847,15707681,Whiddon,554.0,France,Female,43.0,6,95556.31,1,1,0,199273.98,1
255,113219,15743980,Lo,735.0,Spain,Female,38.0,1,142400.91,2,0,1,75868.57,0
256,77191,15715907,Onwubiko,705.0,France,Male,64.0,9,113109.52,1,1,1,27980.8,0
257,137568,15673765,Otoole,705.0,Spain,Female,35.0,2,0.0,2,0,1,125062.02,1
258,71349,15632503,Nwabugwu,765.0,Germany,Female,52.0,10,109196.84,3,1,0,77965.67,1
259,35114,15769959,Udegbunam,613.0,France,Male,30.0,7,135962.4,1,1,1,178045.97,0
260,22679,15653780,Kambinachi,466.0,France,Female,43.0,4,0.0,2,1,1,47578.45,0
261,39233,15605037,Morant,604.0,Spain,Male,47.0,6,0.0,1,1,1,53353.36,0
262,10081,15751177,Pirozzi,714.0,France,Male,31.0,3,0.0,1,1,0,161671.33,0
263,101224,15616676,Smith,675.0,France,Female,35.0,3,0.0,2,0,1,184842.21,0
264,119649,15609537,T'ien,619.0,France,Male,38.0,8,0.0,1,1,1,86090.83,0
265,93615,15660147,Pritchard,562.0,France,Male,42.0,5,0.0,1,1,1,16081.62,0
266,59223,15792180,Chiekwugo,566.0,Germany,Male,22.0,7,144954.75,2,1,1,102246.0,0
267,131251,15806880,Cyril,563.0,Spain,Female,40.0,1,0.0,2,1,0,132562.23,0
268,65366,15705657,Palerma,677.0,France,Male,38.0,9,0.0,2,0,0,108872.45,0
269,82266,15688873,Tretiakova,850.0,France,Male,44.0,1,0.0,3,0,0,1852.24,1
270,121351,15658057,Palermo,603.0,France,Female,37.0,1,0.0,2,1,1,138523.19,0
271,151974,15655436,Tsao,812.0,France,Male,36.0,9,0.0,2,1,1,115700.2,0
272,84979,15734987,Robertson,658.0,France,Female,43.0,5,140260.36,2,1,0,2748.72,1
273,101540,15623644,Frolov,626.0,Spain,Male,34.0,7,0.0,2,0,0,49361.84,0
274,25116,15577914,Fanucci,642.0,Germany,Male,37.0,10,122267.85,2,1,1,54947.51,0
275,35704,15752300,Chuang,586.0,Spain,Male,42.0,5,132467.97,1,0,0,62700.32,1
276,77043,15706764,Spencer,554.0,France,Female,33.0,4,0.0,2,1,0,77475.73,0
277,151154,15794890,Ch'in,598.0,Germany,Female,51.0,1,121898.63,1,0,0,86650.51,1
278,87602,15779627,Ulyanova,569.0,France,Male,35.0,4,85891.55,1,1,1,179631.85,0
279,130370,15714046,Mironova,678.0,France,Male,32.0,4,0.0,1,0,0,155835.21,0
280,143839,15671934,Martin,794.0,Germany,Male,46.0,5,145605.44,1,0,0,96821.91,1
281,126584,15659931,Black,553.0,France,Female,40.0,6,0.0,2,1,1,181204.5,0
282,132650,15617304,Ershova,722.0,France,Male,40.0,4,0.0,2,1,1,111893.09,0
283,44708,15656611,Hsing,678.0,Germany,Male,42.0,2,103501.65,1,0,1,81873.13,0
284,41968,15673529,P'an,593.0,Germany,Male,33.0,1,146098.43,2,1,0,69584.3,0
285,105287,15632444,Mazzi,702.0,Germany,Male,39.0,8,82547.32,2,1,1,79414.3,0
286,159027,15768574,Anderson,632.0,Germany,Male,58.0,6,99906.19,2,1,1,64323.24,0
287,120683,15676966,Hsia,589.0,France,Female,44.0,5,0.0,1,1,0,83679.46,1
